predicate;formula;frequency;closest_solution;solution_distance
this/inv1;(all ref0:(one File)|((ref0 !in Trash) && (ref0 in Trash)));1;((all ref0:(one File)|(ref0 !in Trash)) && (no Trash));5
this/inv7;(all ref0:(one File)|(no (((File <: link) . ref0) + Trash)));1;(no ((File . (File <: link)) & Trash));5
this/inv5;(all ref0:(one File),ref1:(one Protected)|((ref0 !in Protected) && (ref0 in Trash)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));5
this/inv7;(all ref0:(one Trash),ref1:(one Trash)|((ref0 -> ref1) !in (File <: link)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));7
this/inv1;(all ref0:(one File)|((ref0 !in Trash) || (ref0 in Protected)));1;(all ref0:(one File)|(ref0 !in Trash));6
this/inv1;(all ref0:(one File)|((ref0 !in Trash) && (ref0 in Protected)));1;(all ref0:(one File)|(ref0 !in Trash));6
this/inv7;(all ref0:(one File)|((some ref1:(one File)|((ref0 -> ref1) in (File <: link))) => (ref0 in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));7
this/inv5;(all ref0:(one File),ref1:(one Protected)|(ref0 in Trash));1;(all ref0:(one (File - Protected))|(ref0 in Trash));3
this/inv5;(all ref0:(one (Protected + univ))|(ref0 in Trash));1;(all ref0:(one (File - Protected))|(ref0 in Trash));2
this/inv7;(all ref0:(one Trash),ref1:(one Trash)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));4
this/inv5;(! (Protected in Trash));1;((File - Protected) in Trash);3
this/inv6;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|(one ref1));1;((File <: link) in (File ->lone File));9
this/inv5;(all ref0:(one File)|((ref0 in Protected) && (ref0 in Trash)));1;(all ref0:(one File)|((ref0 in Protected) || (ref0 in Trash)));4
this/inv5;(no ref0:(one Protected)|(ref0 in Trash));1;(all ref0:(one (File - Protected))|(ref0 in Trash));2
this/inv6;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|(some ref1));1;((File <: link) in (File ->lone File));9
this/inv7;(! (some ref0:(one File),ref1:(one File)|((ref0 -> ref1) !in (File <: link))));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
this/inv9;(no ref0:(one File)|(((ref0 . (File <: link)) in (File . (File <: link))) && (ref0 in (File . (File <: link)))));1;(no ref0:(one File),ref1:(one File)|((ref0 in (File . (File <: link))) && (ref1 in (ref0 . (File <: link)))));9
this/inv7;(all ref0:(one File)|(some ref1:(one (File - ref0))|((ref0 . (File <: link)) !in (ref1 . (File <: link)))));1;(no ((File <: link) . Trash));9
this/inv7;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) !in (File <: link)) && (ref1 in Trash))));1;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 in Trash))));6
this/inv7;(all ref0:(one File)|(some ref1:(one (ref0 . (File <: link)))|((ref0 -> ref1) in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv7;(all ref0:(one File),ref1:(one File)|(ref0 in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));5
this/inv7;(all ref0:(one File)|(some ref1:(one File)|((ref0 != ref1) && ((ref0 -> ref1) in (File <: link)))));1;(! (some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 in Trash))));11
this/inv7;(all ref0:(one File)|(some ref1:(one File)|((ref0 in Trash) || ((ref1 in Trash) => ((ref0 -> ref1) !in (File <: link))))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));14
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (((ref0 !in Trash) && (ref1 !in Trash) && ((ref1 -> ref0) in (File <: link))) => ((ref0 !in Trash) && (ref1 !in Trash)))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));21
this/inv7;(all ref0:(one File)|(some ref1:(one File)|((ref1 in Trash) => ((ref0 -> ref1) !in (File <: link)))));1;(all ref0:(one File)|((ref0 in Trash) => (no ref1:(one File)|((ref1 -> ref0) in (File <: link)))));10
this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));4
this/inv7;(all ref0:(one File),ref1:(one File)|((((ref0 -> ref1) in (File <: link)) || ((ref1 -> ref0) in (File <: link))) => ((ref0 !in Trash) && (ref1 !in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));14
this/inv7;(all ref0:(one File),ref1:(one File)|((((ref0 -> ref1) in (File <: link)) || ((ref1 -> ref0) in (File <: link))) => ((ref0 !in Trash) || (ref1 !in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));14
this/inv9;(all ref0:(one File)|(some ref1:(one File)|((ref0 != ref1) && ((ref0 . (File <: link)) !in (ref1 . (File <: link))))));1;(all ref0:(one File),ref1:(one File)|((ref1 in (ref0 . (File <: link))) => (no (ref1 . (File <: link)))));11
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 in (ref1 . (File <: link))) => (ref1 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv9;((all ref0:(one File)|(some ref1:(one (File - ref0))|((ref0 . (File <: link)) !in (ref1 . (File <: link))))) && (all ref2:(one (File . (File <: link)))|(some ref3:(one (File . (File <: link)))|(ref2 !in ref3))));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));14
this/inv1;(all ref0:(one File)|(0 != (ref0 & Trash)));1;(no ref0:(one File)|(ref0 in Trash));6
this/inv9;(all ref0:(one (File . (File <: link)))|(some ref1:(one (File . (File <: link)))|(ref0 !in ref1)));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));8
this/inv9;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref2 -> ref1) !in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));8
this/inv7;(all ref0:(one File),ref1:(one File)|((some ref2:(one File)|((ref0 -> ref2) in (File <: link))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ref1:(one File)|((ref1 -> ref0) in (File <: link))) => (ref0 !in Trash)));7
this/inv5;(all ref0:(one File),ref1:(one Protected)|((ref0 != ref1) => (ref0 in Trash)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));7
this/inv9;(some ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref1 -> ref2) !in (File <: link)))));6
this/inv7;(all ref0:(one File)|((some ref1:(one File)|((ref0 -> ref1) in (File <: link))) && (ref0 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));8
this/inv5;(all ref0:(one File)|(((ref0 in File) || (ref0 in Trash)) && (ref0 !in Protected)));1;(all ref0:(one File)|((ref0 in Protected) || (ref0 in Trash)));8
this/inv6;((File <: link) in (File lone-> File));1;((File <: link) in (File ->lone File));2
this/inv6;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref0) !in (File <: link)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));13
this/inv6;(all ref0:(one File)|(some ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref0 -> ref2) !in (File <: link)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
this/inv6;(all ref0:(one File)|((# ((File <: link) . ref0)) > 0));1;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));6
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) + (ref0 -> ref2)) in (File <: link)) => (ref1 = ref2)));14
this/inv1;(some ref0:(one File),ref1:(one Trash)|(ref0 in ref1));1;(no ref0:(one File)|(ref0 in Trash));5
this/inv5;(File = Trash);1;(File = (Protected + Trash));2
this/inv1;(all ref0:(one File),ref1:(one Trash)|(ref0 in ref1));1;(no ref0:(one File)|(ref0 in Trash));5
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref2 -> ref1) !in (File <: link))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));14
this/inv6;((# ((File <: link) . File)) > 0);1;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));5
this/inv1;(no ref0:(one File)|(all ref1:(one Trash)|(ref0 in ref1)));1;(no ref0:(one File)|(ref0 in Trash));5
this/inv1;(all ref0:(one File)|(some ref1:(one Trash)|(ref0 in ref1)));1;(no ref0:(one File)|(ref0 in Trash));5
this/inv9;(((File <: link) . (~ (File <: link))) !in iden);1;(no ((File <: link) . (File <: link)));4
this/inv1;(all ref0:(one File)|(one ref1:(one Trash)|(ref0 in ref1)));1;(no ref0:(one File)|(ref0 in Trash));5
this/inv6;((# (File . (File <: link))) > 0);1;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));5
this/inv7;((File . (File <: link)) !in Trash);1;(no ((File . (File <: link)) & Trash));3
this/inv6;(lone (File <: link));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));3
this/inv2;(no (File . (File <: link)));1;(no (File - Trash));4
this/inv9;(((File <: link) . (~ (File <: link))) in iden);1;(no ((File <: link) . (File <: link)));4
this/inv6;(one (File <: link));1;((File <: link) in (File ->lone File));5
this/inv9;(((File <: link) !in iden) && (((File <: link) . (~ (File <: link))) in iden));1;(no ((File <: link) . (File <: link)));8
this/inv7;(all ref0:(one File)|((some (ref0 . (File <: link))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));4
this/inv1;(all ref0:(one File)|(some ref1:(one Trash)|(ref0 !in ref1)));1;(all ref0:(one File),ref1:(one Trash)|(ref0 !in ref1));4
this/inv6;(all ref0:(one File)|(lone (File . (File <: link))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));4
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|(no Trash));1;((File <: link) in (File ->lone File));10
this/inv6;(all ref0:(one File)|(some (File <: link)));1;((File <: link) in (File ->lone File));6
this/inv6;(all ref0:(one File),ref1:(one File),ref2:(one File)|((ref0 -> ref1) in (File <: link)));1;((File <: link) in (File ->lone File));9
this/inv6;(some ref0:(one File),ref1:(one File)|((ref0 -> ref1) in (File <: link)));1;((File <: link) in (File ->lone File));8
this/inv6;(some (File . (File <: link)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
this/inv6;(all ref0:(one File)|(some (ref0 -> (File <: link))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
this/inv7;((File . (File <: link)) in Trash);1;(no ((File . (File <: link)) & Trash));3
this/inv7;(no (File . (File <: link)));1;(no ((File . (File <: link)) & Trash));2
this/inv5;(some ref0:(one File)|((ref0 in Trash) => (ref0 in Protected)));1;(all ref0:(one File)|((ref0 !in Trash) => (ref0 in Protected)));4
this/inv7;(all ref0:(one File),ref1:(one File)|((ref0 -> ref1) !in (File <: link)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));7
this/inv7;(all ref0:(one File)|(ref0 !in Trash));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));2
this/inv9;(no ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));2
this/inv5;(all ref0:(one File),ref1:(one Protected)|((ref0 in Trash) => (ref0 != ref1)));1;(all ref0:(one (File - Protected))|(ref0 in Trash));7
this/inv5;(all ref0:(one File),ref1:(one Protected)|((ref0 in Trash) => (ref0 !in Protected)));1;(all ref0:(one File)|((ref0 !in Trash) => (ref0 in Protected)));7
this/inv9;(all ref0:(one File)|((ref0 . (File <: link)) !in (File . (File <: link))));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));7
this/inv5;(some ref0:(one File)|((ref0 in Trash) => (ref0 !in Protected)));1;(all ref0:(one File)|((ref0 !in Trash) => (ref0 in Protected)));6
this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 !in Trash))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv7;(some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
this/inv7;(some ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));4
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref0 -> ref2) !in (File <: link)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|((ref0 != ref2) && ((ref0 -> ref2) !in (File <: link))))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));16
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (all ref2:(one File)|(((ref0 -> ref2) !in (File <: link)) && (ref1 != ref2)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|((((ref0 -> ref1) in (File <: link)) && ((ref0 -> ref2) in (File <: link))) => (ref1 = ref2)));12
this/inv6;(all ref0:(one File),ref1:(one File)|((ref0 = ref1) => (no ((ref0 . (File <: link)) & (ref1 . (File <: link))))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));13
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) != (ref1 . (File <: link))) => (ref0 = ref1)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));12
this/inv6;(all ref0:(one File)|(1 < (# (ref0 . (File <: link)))));1;(all ref0:(one File)|((# (ref0 . (File <: link))) < 2));4
this/inv7;(all ref0:(one File)|((no ((ref0 . (File <: link)) & Trash)) && ((ref0 . (File <: link)) !in Trash)));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));8
this/inv6;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|(some (ref0 -> ref1)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));9
this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));5
this/inv6;(all ref0:(one File)|(some (ref0 -> (ref0 . (File <: link)))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
this/inv6;(all ref0:(one File),ref1:(one File)|((ref0 != ref1) => ((lone (File <: link)) && (no ((ref0 . (File <: link)) & (ref1 . (File <: link)))))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));16
this/inv7;(all ref0:(one File)|((some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 in Trash))) => (ref0 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));9
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = (ref1 . (File <: link))) => (((ref0 != ref1) && (ref0 = ref1)) => (no ((ref0 . (File <: link)) & (ref1 . (File <: link)))))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));25
this/inv7;(all ref0:(one File)|((some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) || ((ref1 -> ref0) in (File <: link)))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ref1:(one File)|((ref1 -> ref0) in (File <: link))) => (ref0 !in Trash)));10
this/inv6;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = (ref1 . (File <: link))) => ((no ((ref0 . (File <: link)) & (ref1 . (File <: link)))) && (ref0 = ref1))));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));21
this/inv9;(all ref0:(one File),ref1:(one File)|((some ref2:(one File)|((ref0 -> ref2) in (File <: link))) => (! (some ref3:(one File)|((ref1 -> ref3) in (File <: link))))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (some ref3:(one File)|((ref1 -> ref3) in (File <: link))))));10
