Challenge;Predicate;Expression;Popularity
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo - Ad | u not in u.follows => u not in p.~sees;2
dkZH6HJNQNLLDX6Aj;inv3;all x: User | ( all p : x.sees | p not in Ad implies (one u : User | p in u.posts implies u in x.follows));4
dkZH6HJNQNLLDX6Aj;inv3;some u1,u2: User | all p: Photo | (p in u1.sees and p in u2.posts and p not in Ad) implies u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all ad: univ | ad in User.sees all photo: Photo | all user1, user2: User | photo in user1.sees and photo in user2.posts implies user2 in user1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo - Ad | some v:User | u in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User |all p : Photo| y in x.follows and p in y.posts and x in y.sees;2
dkZH6HJNQNLLDX6Aj;inv3;one x: User | x->x.follows in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User | (u.posts - Ad) in u.follows.posts;5
dkZH6HJNQNLLDX6Aj;inv3;(all u1,u2:User | all p:Photo | p not in Ad implies (u1->u2 in follows and u1->p in sees and u2->p in posts));2
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo | all u:User,u2:User | p in u.sees and p in u2.posts and p != Ad implies u2 in u.follows and p not in u.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all p: u.sees | p not in Photo;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User | all z : Photo | (x -> y not in follows) implies (x -> y not in sees);1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | (p not in Ad and u1->p in sees) implies (p in u2.posts and u2 in u1.follows);1
dkZH6HJNQNLLDX6Aj;inv3;all u:User | u.follows.posts in u.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User | (u.sees = u.follows.posts);5
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo | all u1,u2 : User | p in u2.posts and p in u1.sees implies u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;some sees :> (follows.posts.Photo + posts.Ad);2
dkZH6HJNQNLLDX6Aj;inv3;all u : User, a : Ad | u.follows.posts in u.sees and a in u.sees and u.posts not in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | not Ad.sees in u.follows.posts;3
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User | u1.sees in u2.posts-Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all p : Photo | p in u.sees iff (p in Ad or p in u.follows.posts);3
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo | (p in u.sees and p not in Ad implies p in u.follows.posts) and (all p1:Photo | p1 in Ad implies p1 in u.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo | (some u1 : User | u1->p in sees implies p not in Ad and (some u2:User | u2->p in posts and u1->u2 in follows));1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | u.sees in u.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo , a : Ad | (p != a && u1 in posts.p && u2 in sees.p) implies (u2 in follows.u1);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all l : u.sees |l in u.follows all a : Photo-Ad | all u: User |all l : u.follows | l in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : Photo | all z: Ad | y in x.sees and (y!=z and y in x.follows.posts || y = z);2
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo | p not in Ad && ( u1 -> u2 in sees => u1 -> u2 in follows );1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | p in u.sees implies (some x : User - u | p in x.posts);2
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo | p in Ad || ( u1 -> u2 in sees => u1 -> u2 in follows );1
dkZH6HJNQNLLDX6Aj;inv3;Ad in User.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u : User | (u.sees - Ad) = u.follows.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u, j : User | all p : Photo | u -> p in sees implies u -> j in follows all u : User| all i : Influencer| all p : Photo | u -> p in sees implies u -> i in follows all a : Ad | some u : User | u -> a in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : Photo | all z: Ad | y in x.sees and y not in x.posts and y!=z;2
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo | all u1,u2 : User | u2 in u1.follows and p in u2.posts implies p in u1.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | (u.sees not in Ad) implies (u.sees in (u.follows).posts);3
dkZH6HJNQNLLDX6Aj;inv3;all u : User | u.sees in u.follows.posts + posts.Ad + u.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all p: u.follows.posts | all ad: Ad | p in u.sees and ad in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u,u2:User, p:Photo | u->p in sees implies ((u->u2 in follows and u2->p in posts) or (p in Ad));1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows all ad : Ad, u1,u2 : User | ad in u1.sees implies ad in u2.posts and u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all y : Photo-Ad | all x : User | x.sees in x.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2: User | all p: Photo | p in u1.sees implies (p in Ad) or (u2 in u1.follows and p in u2.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all p: Photo | all u,u1: User | p in u.posts and p in u1.sees implies u1 in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u1:User | all p:Photo | (u1->p in sees and p not in Ad) implies some u2:User | u1->u2 in follows and u1 != u2;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all a : Ad | u.sees in (u.follows.posts + a);1
dkZH6HJNQNLLDX6Aj;inv3;all x, y:User, a:Ad | x.sees in y.posts implies (y in x.follows or a in x.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all u: User | u in (u - Influencer).sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : Influencer | all y : Photo | all z: Ad | y in x.sees and y not in x.posts and y!=z;1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo | all u1 : User-Influencer | all u2 : User | all i : Influencer | (p in u1.sees implies ((p in u2.posts and u2 in u1.follows and p not in Ad) or (p in Ad))) or (p in u1.sees implies p in i.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all p : Photo | u->p in sees and p not in Ad implies u not in follows.(posts.p);1
dkZH6HJNQNLLDX6Aj;inv3;all u:User-Ad | u.sees in u.follows.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u1 : User | all u2 : User | all p : u2.posts | u1 -> p in sees implies u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all user : User | all s : user.sees | one f : user.follows | s in f.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | some(p.posts & u.follows.posts);2
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | some(posts.p & sees.u.follows.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees in (x.follows.posts + x.follows );1
dkZH6HJNQNLLDX6Aj;inv3;(all a: Ad | all u: User | u->a not in posts implies u->a in sees) and (all p: Photo-Ad | all u1, u2: User | (u1->p in sees and u2->p in posts) implies u1->u2 in follows);1
dkZH6HJNQNLLDX6Aj;inv3;all p: Photo | all u: User | p in u.sees implies (p in u.follows or p in Ad);4
dkZH6HJNQNLLDX6Aj;inv3;all x : User | some y : User | y in x.follows and y in x.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User | u.follows.posts not in Ad and u.sees.posts in Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo - Ad | u in u.follows => u in p.~sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : Photo | all u : User | u not in x.follows implies y not in x.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x,y : User, p : Photo, a : Ad | ((p in x.sees && p in y.posts && not p in x.posts) => (y in follows.x && p != a)) || (p = a);1
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo | all u:User | p in u.sees and p not in Ad implies one u2:User | p in u2.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | some (u.follows.posts & sees.p);2
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees - Ad in x.follows.posts all x : User | all y : Ad | y in x.sees;6
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows all ad : Ad, u : User | ad in u.sees all p : Photo, u : User | p in u.posts implies p not in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all x: User | all z: User | all p: Photo | x != z and p in z.posts and z in x.follows => x in sees.p && all a: Ad | all y: User | y in sees.a;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | u.follows.posts - Ad in u.sees - Ad all a : Ad, u : User | a in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo | some f : User | u->f in follows && f->p in posts => u->p in sees User in sees.Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo - Ad | u in u.follows => u in p.~sees all u: User | u.sees = u.follows.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | #(u.sees) = #(u.follows.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all x,y : User, p : Photo, a : Ad | ((p in x.sees && p in y.posts) => (y in follows.x && p != a)) || (p = a);3
dkZH6HJNQNLLDX6Aj;inv3;sees in (follows.posts - User -> Ad);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo | some f : User | u->p in sees and f->p in posts and p not in Ad implies u->f in follows or u = f;2
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees in Ad or x.sees in x.follows.posts all x : User | x.sees in (x.follows.posts + Ad);1
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo - Ad | some v:User | sees.u in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, s : u1.sees | (s in u2.posts and u2 in u1.follows) or (s in Ad);1
dkZH6HJNQNLLDX6Aj;inv3;all x,y: User | all p: Photo | p != Ad && x != y implies (p in x.sees && p in x.posts) implies x in y.follows;2
dkZH6HJNQNLLDX6Aj;inv3;all u, f : User, p : Photo { u -> p in sees => (p not in Ad && u -> f in follows && f -> p in posts) } all a: Ad, u : User | u -> a in sees;3
dkZH6HJNQNLLDX6Aj;inv3;one x: User | x.sees not in x.posts all y : User | Ad in y.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all a : Ad | (u.follows.posts & a) in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, u2: User, y: Photo | (y not in Ad and u->y in sees and u2->y in posts) implies (u->y in follows);1
dkZH6HJNQNLLDX6Aj;inv3;all x: User, y: Photo| x->y in sees implies (some z: User | z->y in posts and x->y in follows) all x: User, y: Ad | x->y in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : u.posts - Ad | p not in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x, z : User, y : Photo | y in x.sees implies (y in Ad or z in x.follows and y in z.posts);2
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo | p in u.sees and p in Ad implies p not in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User, y: Photo | x -> y in sees implies (y in Ad or all v: User | v -> y in posts and x -> v in follows);1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo | all u1: User | p in u1.sees implies ( p in Ad or p in posts.p);1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows all u : User, ad : Ad | ad in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all a : Ad | u.follows.posts in u.sees and a in u.sees and u.posts in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | some (u.follows.posts.sees & sees.p);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, y : Photo| y in u.sees & Ad implies y in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x: User | all y: Ad | x->y in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all a : Ad | one u : User | u->a in posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all p : Photo | p not in Ad implies x->p in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows and p in u2.sees all ad : Ad, u : User | ad in u.*sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all p : u.sees | p not in Ad and p in u.sees.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u1:User | all p:u1.posts | one u2:u1.follows | (p not in Ad and p in u2.posts) or (p in Ad and p not in u1.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User, p : Photo - Ad | u2->p in sees implies u1->u2 in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x : Photo | x not in posts.x.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo | p not in Ad and p in u.sees implies some x : User | p in x.posts and x in u.follows all a : Ad | a in User.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo | all u:User | p in u.sees implies p not in u.posts all a:Ad | all u:User | a in u.sees implies a not in u.posts all p:Photo | all u:User,u2:User | p in u.sees and p in u2.posts and p != Ad implies u2 in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | some y : User | x.sees in y.posts && not x.sees in posts.x;1
dkZH6HJNQNLLDX6Aj;inv3;all p: Photo | all u,u1: User | p not in Ad and p in u.posts and p in u1.sees implies u1 in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User | posts.(u.sees) in u.follows + Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees - Ad in x.follows.posts all x : User | all y : Ad | y in x.sees - x.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;one u1,u2:User|all p1,p2:Photo|p1 not in Ad implies (u1->u2 in follows and u2->p1 in posts implies u1->p1 in sees);1
dkZH6HJNQNLLDX6Aj;inv3;User.sees - Ad not in User.posts all y : User | Ad in y.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : Photo | some z : User | y in z.posts and y in x.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo - Ad | one (sees.p & u.follows.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo | all f : User | u->p in sees and f->p in posts and p not in Ad implies u->f in follows or u = f;1
dkZH6HJNQNLLDX6Aj;inv3;all u, j : User | all p : Photo | u -> p in sees implies u -> j in follows all u : User| all i : Influencer| all p : Photo | u -> p in sees implies u -> i in follows all u : User | all a : Ad | u -> a in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all a : Ad | a in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows all p : Photo, u : User | p in u.posts implies p not in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u : User, a : Ad | u.sees= u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all p: Photo , u: User , u1 : User | p not in Ad and u->p in sees implies(u->u1 in follows and u1->p in posts);1
dkZH6HJNQNLLDX6Aj;inv3;all u, v: User | u in v.follows => u.posts in v.sees no p: Photo | p in Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all x : Ad | all y : User | y in sees.x;2
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : Photo-Ad| (p in u.follows.posts) implies (p in u.sees);2
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : x.sees | y not in Ad;2
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo,u1:User | p not in Ad and (u1 -> p in sees implies (all u2:User | u2 -> p in posts and u1 -> u2 in follows));1
dkZH6HJNQNLLDX6Aj;inv3;all u : User - Influencer | all p : sees.u - Ad | posts.p in follows.u;1
dkZH6HJNQNLLDX6Aj;inv3;all x,u:User, p:Photo-Ad| x->p in sees implies x->u in follows and u->p in posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | sees.u - Ad in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo |all u1,u2:User | p in u2.posts and u2 in u1.follows implies Ad not in p;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | some y : User | x.sees in y.posts && not x.sees in x.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all a : Ad | u.follows.posts in u.sees or u.posts in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User | all p : Photo - Ad | y in follows.x and p in y.posts and x in sees.p;1
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo-Ad | (u1 in sees.p && u2 in posts.p) implies (u1 in follows.u2) all u : User | all a : Ad | u in sees.a;3
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all p: Photo-Ad | some posts.p;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | (all y : x.sees | y not in User.posts) and (all z : Ad | z in x.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all u1:User | some p:Photo, u2:User | (u1->p in sees and p not in Ad) => u1->u2 in follows and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | one p : Photo | p in u.sees iff (p in Ad or p in u.follows.posts);1
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all p: u.sees | some f: u.follows | p in f.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : x.sees | y not in User.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo | (p in u.sees && p !in Ad) => (p.posts in u.follows);1
dkZH6HJNQNLLDX6Aj;inv3;all u, x : User, p : Photo | p not in Ad and p in u.sees and p in x.posts implies x in u.follows all a : Ad | some u : User | a in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User |all p : Photo| y in x.follows and p in y.posts and x in sees.p;1
dkZH6HJNQNLLDX6Aj;inv3;all u, u1:User, p:Photo | u->p in sees implies u1->p in posts implies u->u1 in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo - Ad | u in u.follows.posts.~sees => (p in p.~posts.sees or u in Ad.~sees);1
dkZH6HJNQNLLDX6Aj;inv3;all p : Photo, u1,u2 : User | p != Ad and p in u1.sees implies p in u2.posts and u2 in u1.follows all ad : Ad, u1,u2 : User | ad in u1.sees implies ad in u2.posts and u2 not in u1.follows or u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x, z : User | all y : Photo | x->z in follows and z->y in posts implies x->y in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u1 : User | all p : Photo | (some u2: User | u1->p in sees and p not in Ad and u2->p in posts implies u1->u2 in follows);3
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo , a : Ad| (u1 != u2 && p != a && u1 in sees.p && u2 in posts.p) implies u1 in follows.u2 all a : Ad, u : User | u in sees.a;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User |all p : Photo| y in x.follows and p in y.posts and x in sees.p and p = Ad;2
dkZH6HJNQNLLDX6Aj;inv3;all a : Ad, u:User | u->a in sees all u1, u2 : User, p:Photo | u1 -> p in sees and u2 -> p in posts implies u1->u2 in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all a : Ad | a in User.sees all u1, u2 : User, p : Photo | p in u1.posts => p not in Ad and p in u2.sees => u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User | all p : Photo | (u1->p in posts and u2->p in sees and p not in Ad) implies u1->u2 in follows all a : Ad | lone u : User | u->a in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo |all u1,u2:User | p in u2.posts and u2 in u1.follows implies p in u1.sees and Ad not in p;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo-Ad| p in u.sees implies p in u.follows.posts all a :Ad| a in User.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | u.posts not in u.sees;3
dkZH6HJNQNLLDX6Aj;inv3;all u,x:User| one p:Photo - Ad| u->p in sees and x->p in posts implies u->x in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | all y : User |all p : Photo| y in x.follows and p in y.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo| u -> p in sees implies (some u2:User | u -> u2 in follows and u2 -> p in posts);2
dkZH6HJNQNLLDX6Aj;inv3;all user : User, photo : Photo | (photo in user.sees) implies (photo = Ad) or (all followed : univ | (followed in User) and (followed->photo in posts) implies (user->followed in follows));1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | all l : u.sees |l in u.follows all a : Photo-Ad | all u: User | a in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | (u.sees not in Ad) implies (u.sees in (u.follows).posts) all p : Photo - Ad | all u : User | p in u.sees implies posts.p in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User | u -> (u.sees - Ad) in sees implies u -> u.follows.posts in sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u: User | all p: u.follows.posts | p in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | sees.~posts.User in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all a : Ad, u:User | u->a in sees all u1, u2 : User, p:Photo | u1 -> p in sees implies (u2 -> p in posts and u1->u2 in follows);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | Ad in u.sees all u : User | all p : u.sees - Ad | some f : u.follows | p in f.posts or p in u.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | some y : Ad | x.sees not in y;1
dkZH6HJNQNLLDX6Aj;inv3;some ad: Ad | ad in User.sees all photo: Photo | all user1, user2: User | photo in user1.sees and photo in user2.posts implies user2 in user1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all user1, user2: User | all photo: Photo | (photo in user1.sees and photo in user2.posts) implies user2 in user1.follows all ad : Ad | ad in User.sees and ad not in User.posts;1
dkZH6HJNQNLLDX6Aj;inv3;(all a, c : User, b : Photo | ((b not in Ad) and (b in a.sees) and (b in c.posts)) implies c in a.follows) or (all a : User, b : Ad | b in a.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all u, j : User | all p : Photo-Ad | u -> p in sees implies u -> j in follows all u : User | all a : Ad-Photo | u -> a in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x:User | all y:Photo| x.sees = x.follows.posts + y;1
dkZH6HJNQNLLDX6Aj;inv3;all x,z : User | all p : Photo | x->p in sees and p not in Ad implies z->x in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2:User, p:Photo-Ad | u1 in sees.p and u2 in posts.p implies u1 in u2.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees in x.follows + Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u1: User, u2: User, p: Photo | p in u1.sees and p not in Ad and p in u2.posts implies u2 in u1.follows all a: Ad, u: User | a in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all x,y: User | all p: Photo | p != Ad and x != y implies (p in x.sees and p in y.posts) implies x in y.follows;5
dkZH6HJNQNLLDX6Aj;inv3;all u : User | Ad in u.sees all u : User | all p : u.sees - Ad | p in u.follows.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all ad: Ad | ad in User.sees and ad not in User.posts all photo: Photo | all user1, user2: User | photo in user1.sees and photo in user2.posts implies user2 in user1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | u.sees in Ad implies u.sees in u.follows.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User | u2.posts in u1.sees implies u2 in u1.follows all a : Ad | a in User.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, p : u.posts | p not in u.sees all u : User | u.sees in u.follows.sees;4
dkZH6HJNQNLLDX6Aj;inv3;all u:User, p:Photo | p in u.sees => p.posts in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all user : univ | user in User and some photo : univ | user->photo in posts implies (photo in Ad) or (some follower : univ | follower->photo in posts and user->follower in follows);1
dkZH6HJNQNLLDX6Aj;inv3;all u : User, a : Ad | u.sees in u.follows.posts + Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo | p in u.sees implies (some f: u.follows | p in f.posts) all a: Ad, u: User | a in u.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u1: User, u2: User, p: Photo | u1 != u2 and p in Ad and p in u1.sees and p in u2.posts implies u2 in u1.follows all a: Ad, u: User | a in u.sees;2
dkZH6HJNQNLLDX6Aj;inv3;all u1:User , u2:User | u1 -> (u1.sees - Ad) in sees implies u2 -> u1.follows.posts in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo -Ad | all u1,u2:User | u1 in u2.follows and p in u1.posts implies p in u1.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u1, u2 : User, p : Photo , a : Ad | (p != a && u1 in posts.p && u2 in sees.p) implies (u2 in follows.u1) all u : User, p : Photo | u in sees.p && p in Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all u:User | u.sees in u.follows.posts & (Photo-Ad);1
dkZH6HJNQNLLDX6Aj;inv3;all u,u2:User, p:Photo | u->p in sees implies ((u->u2 in follows and p not in Ad and u2->p in posts) or (p in Ad));1
dkZH6HJNQNLLDX6Aj;inv3;all user1, user2: User | all photo: Photo | (photo in user1.sees and photo in user2.posts) implies user2 in user1.follows all ad : Ad | ad in User.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all a,u,f,p : univ | u in User and u-> f in follows and f -> p in posts and a in Ad implies p!=a;2
dkZH6HJNQNLLDX6Aj;inv3;all u1: User | some u2: User | all p: Photo | u1->p in sees implies p not in Ad and u1->u2 in follows and u2->p in posts;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | x.sees in x.follows.posts or all x: User | x.sees in Ad;1
dkZH6HJNQNLLDX6Aj;inv3;all user1, user2 : User | all photo : Photo | (photo in user1.posts and photo in user2.sees) implies user1 in user2.follows some user : User | Ad in user.sees;1
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User | all p : Photo - Ad | p in u2.posts and p in u1.sees and u2 in u1.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u : User | posts.(u.sees) not in u.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all x,y : User, p : Photo | p in x.sees => y in follows.x && p in y.posts;2
dkZH6HJNQNLLDX6Aj;inv3;all u1,u2 : User | u1.sees in u2.posts-Ad all u : User | u.sees not in u.posts;1
dkZH6HJNQNLLDX6Aj;inv3;all u: User, p: Photo - Ad | u in p.~sees => u in p.~posts.follows;1
dkZH6HJNQNLLDX6Aj;inv3;all p:Photo,u1:User | p not in Ad and (u1 -> p in sees implies (all u2:User | u2 -> p in posts and u1 -> u2 in follows)) all p:Ad,u:User | u -> p in sees;1
dkZH6HJNQNLLDX6Aj;inv3;all x : User | (all y : Photo | all z: Ad | y in x.sees and y!=z and y in x.follows.posts ) || (all z: Ad | z in x.sees);1
dkZH6HJNQNLLDX6Aj;inv3;all u1: User, u2: User, p: Photo, a: Ad | u1->p in sees implies u2->p in posts implies u1->u2 in follows;1
dkZH6HJNQNLLDX6Aj;inv3;all u1:User | all p:u1.posts | one u2:u1.follows | p not in Ad and p in u2.posts;3
